,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu,tên dách
0,,,,,,,,,,,,,,,,,,,
1,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8936042001564_1.jpg,Tiếng Việt,NXB Văn Hóa - Văn Nghệ,"
Tiếng Việt Cho Người Trung Quốc T1 + CD
Điểm mạnh của giáo trình này là song ngữ, rất dễ học, dễ hiểu. Nội dung đầy đủ các câu hội thoại từ đơn giản đến phức tạp giúp người học áp dụng và giao tiếp dễ dàng hơn trong thực tế 
",55.000 đ,,,,,,,,,,,,,Tiếng Việt Cho Người Trung Quốc T1 + CD
2,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_21372.jpg,Tiếng Việt,NXB Văn Hóa - Văn Nghệ,"
Ngay từ khi bắt đầu bạn phải xác định cho mình những bước chuẩn bị chính xác và cẩn thận nhất. Chỉ có như vậy học tiếng Trung mới trở nên dễ dàng và hiệu quả. Nếu như bạn còn đang hoang mang khi không biết bắt đầu từ đâu? phương hướng đi như thế nào, vậy thì cuốn sách này có thể giúp bạn học tốt tiếng Trung nhất. 
",60.000 đ,,,,,,,,,,,,,Tiếng Việt Cho Người Hoa T2 + CD
3,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_21378.jpg,Tiếng Việt,NXB Văn Hóa Sài Gòn,"
Đây là cuốn giáo trình tiếng Việt dành cho người nước ngoài, thuộc bộ sách ""Vietnamese for foreingers"" gồm có 4 tập. Mỗi tập sách đều có kèm theo CD.
This language program is ideal for people who have no Vietnamese language background and would like to learn the basics of the language and its usage. It aims to develop students' communicative competence, allowing them to communicate in Vietnamese in a variety of situations. The program is structured so that students will develop a posititve learning attitude and also learn about Vietnamese culture, traditions and customs.
The lessons are designed to equip students with the strategies and skills required to make the learning process efficient and enjoyable, thus helping students communicate in Vietnamese with confidence.
About author:
Phan Văn Giưỡng is a senior lecturer in Vietnamese at the Department of Asian Studies and Languages, Falculty of Arts, Victorian University of Technology.
He is the author of Functional Vietnamese (Vietnamese for foreign business people and travellers), Hoa buồn (Sad Flowers), Bàn tay tình tự (Lovely Hands), Dung nhan (A portrail) [poetry], From the Motherland, A good Hearted Friend, In the New Land (short stories), and Vietnamese Press in Australia.
He is also editor of Hien Dien Literature Magazine (Vietnam) and Vietnam Times Newspaper (Sydney).
Mr Phan was awarded ""the Victorian Achievers of the Year Award"" on The Australian Day 1991.
Xin trân trọng giới thiệu. 
",75.000 đ,,,,,,,,,,,,,Tiếng Việt -  Vietnamese For Foreigners 3 + 2CDs
4,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_21379.jpg,Tiếng Việt,Văn Hóa Văn Nghệ,"
Tiếng Việt -  Vietnamese For Foreigners 2 + 2CDs 
",75.000 đ,,,,,,,,,,,,,Tiếng Việt -  Vietnamese For Foreigners 2 + 2CDs
5,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_21374.jpg,Tiếng Việt,Văn Hóa Văn Nghệ,"
Tiếng Việt Dành Cho Khách Nước Ngoài - Vietnamese For Foreign Travellers + 2CDs 
",50.000 đ,,,,,,,,,,,,,Tiếng Việt Dành Cho Khách Nước Ngoài - Vietnamese For Foreign Travellers + 2CDs
6,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_1568.jpg,Tiếng Việt,NXB Thế Giới,"
Tiếng Việt Trình Độ A - Tập 1 do GS.TS Đoàn Thiện Thuật làm chủ biên. Lý do chúng tôi chọn cuốn sách này làm cuốn sách đầu tiên giới thiệu tới quý độc giả là vì đây là một cuốn sách có cách bố cục khá chặt chẽ, khoa học. Cách trình bày cũng tương đối dễ hiểu, dễ xem. Và đây cũng là một trong những cuốn sách luôn nằm trong tủ sách của trung tâm 123VIETNAMESE, được rất nhiều các thầy cô giáo tại đây lựa chọn làm giáo trình giảng dạy. Sách Tiếng Việt được biên soạn theo chín chủ đề. Mỗi chủ đề có ba bài và sau sáu bài có một bài ôn tập. Mỗi bài góp phần mở rộng chủ đề, nhưng nó có chủ điểm ngữ pháp và ngữ âm riêng. Câu chìa khoá về ngữ pháp được lấy làm tên bài. Do vậy, mới nhìn  qua và căn cứ vào tên bài, người đọc dễ có cảm tưởng là bài viết không ăn nhập với chủ đề hoặc xa đề, nhưng thực ra không phải như vậy.
Với chủ trương đề cao tính thiết thực và tính hiệu quả trong giảng dạy mà trong Bài học tại lớp chúng tôi chỉ cho những bài luyện và những mẫu câu, tức những công thức ngữ pháp được cụ thể hoá cho dễ nhớ, chứ không miêu tả lý thuyết dài dòng.
Việc đơn giản hoá như thế có thể làm cho người dạy hay người học khó hiểu hoặc hiểu không đầy đủ. Chúng tôi có một phần gọi là Ghi chú để ai thấy cần thiết thì xem thêm.
Bài tập ở nhà gồm có những bài nghe ghi trên băng từ và bài làm viết trên giấy. Băng này không chỉ giúp người học rèn luyện kỹ năng nghe hiểu mà còn tập đọc cho đúng. Do vậy băng ghi cả bài nghe lẫn bài đọc.
Để tự kiểm tra kết quả bài tập ở nhà đã có phần đáp án.
Trong học tập ở bất cứ bộ môn gì, thì bao giờ ngoài giáo trình chính thức thường phải có sách công cụ để người học tham khảo. Ở đây phải là sách Ngữ Pháp và Từ điển. Hai phần ghi chú và Bảng từ đóng vai trò của những sách công cụ. Tuy nhiên chúng được viết rất đơn giản. Phần ghi chú thì Ghi chú ngữ âm trình bày rất ngắn gọn toàn cảnh cấu trúc âm vị học tiếng Việt. Còn ghi chú ngữ pháp chỉ làm rõ thêm những điều đã dạy ở phần Bài học trong sách. Bảng từ chỉ cung cấp những từ gặp trong sách và với nghĩa trong bài. Nghĩa mỗi từ không đầy đủ như trong từ điển và thậm chí còn khác nữa, đó là nghĩa của một từ trong tình huống cụ thể (hay còn gọi là nghĩa dụng học) 
",136.000 đ,,,,,,,,,,,,,Click Tiếng Việt Trình Độ A - Tập 1
7,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_42656.jpg,Tiếng Việt,NXB Thế Giới,"
Giáo sư, Tiến sĩ Mai Ngọc Chừ là nhà ngôn ngữ học. Ông dạy tiếng Việt và Ngôn ngữ học tại Đại học Tổng hợp Hà Nội từ năm 1974.
Ông nguyên là Chủ nhiệm khoa Đông Phương học kiêm Chủ nhiệm bộ môn Đông Nam Á học, Trường Đại học Khoa hoặc Xã hội và Nhân văn, Đại học Quốc gia Hà Nội.
Ông là người có nhiều kinh nghiệm trong việc dạy tiếng Việt và viết các giáo trình tiếng Việt cho người nước ngoài.
Mai Ngọc Chừ là tác giả của nhiều cuốn sách về ngôn ngữ được xuất bản ở Việt Nam và nước ngoài.
Huy Hoang Bookstore xin trân trọng giới thiệu tới quý vị độc giả! 
",235.000 đ,,,,,,,,,,,,,Học Tiếng Việt Qua Tiếng Anh - Studying Vietnamese Through English
8,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_8550.jpg,Tiếng Việt,Thế Anh,"
Sách ""Tiếng Việt Cho Người Nước Ngoài"" ra đời nhằm đáp ứng nhu cầu học tiếng Việt và tìm hiểu văn hóa Việt Nam của người nước ngoài cùng với người Việt định cư ở nước ngoài ngày càng nhiều như hiện nay.
Trong cuốn sách này, người học sẽ được hướng dẫn chi tiết từ cách phát âm, cách viết mẫu tự tiếng Việt, các điểm chính yếu của văn phạm tiếng Việt, đàm thoại, từ ngữ và thành ngữ, văn phạm, thực hành, luyện đọc hiểu. Phần hội thoại là các tình huống thật, giúp người học làm quen với lối giao tiếp cùa người Việt Nam. Cũng giống như tất cả những ngôn ngữ khác, văn viết và văn nói tiếng Việt có một số khác biệt như khi sử dụng tiếng lóng, thêm lối nói trang trọng những tình huống đặc biệt. 
",62.000 đ,,,,,,,,,,,,,Tiếng Việt Cho Người Nước Ngoài
9,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8936042001519_1.jpg,Tiếng Việt,Văn Hóa Văn Nghệ,"
Tiếng Việt - Vietnamese For Foreigners 1 + 2CDs
Đây là cuốn giáo trình tiếng Việt dành cho người nước ngoài, là tập 1 trong bộ sách gồm có 4 tập, mỗi tập sách đều có kèm theo CD.
This language program is ideal for people who have no Vietnamese language background and would like to learn the basics of the language and its usage. It aims to develop students' communicative competence, allowing them to communicate in Vietnamese in a variety of situations. The program is structured so that students will develop a posititve learning attitude and also learn about Vietnamese culture, traditions and customs.
The lessons are designed to equip students with the strategies and skills required to make the learning process efficient and enjoyable, thus helping students communicate in Vietnamese with confidence.
About author:Phan Văn Giưỡng is a senior lecturer in Vietnamese at the Department of Asian Studies and Languages, Falculty of Arts, Victorian University of Technology.
He is the author of Functional Vietnamese (Vietnamese for foreign business people and travellers),Hoa buồn(Sad Flowers),Bàn tay tình tự(Lovely Hands),Dung nhan(A portrail) [poetry],From the Motherland, A good Hearted Friend, In the New Land(short stories), andVietnamese Press in Australia.
He is also editor ofHien Dien Literature Magazine(Vietnam) andVietnam Times Newspaper(Sydney).
Mr Phan was awarded ""the Victorian Achievers of the Year Award"" on The Australian Day 1991. 
",75.000 đ,,,,,,,,,,,,,Tiếng Việt -  Vietnamese For Foreigners 1 + 2CDs
