,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý,Thương hiệu,Xuất xứ thương hiệu,Xuất xứ,Chất liệu,Model,Trọng lượng,Size người mẫu mặc
0,,,,,,,,,,,,,,,,,,,,,,
1,Graphics 01 - Connect The Dots,https://salt.tikicdn.com/cache/280x280/ts/product/3b/2f/b1/ea0870113428d395587c963ca296eacd.jpg,TẠP CHÍ - CATALOGUE,KEE Agency,"Graphics 01 - Connect The DotsKhi đang cầm cuốn tạp chí này trên tay, chắc hẳn bạn đã có những hình dung về khái niệm “graphic design” (thiết kế đồ hoạ) của riêng mình. Những hình dung đó có thể tồn ...",91000,Tri Thức Trẻ,2017-12-19 18:33:42,<p>19 x 26.5 cm</p>,Bìa mềm,96,,,,,,,,,,,
2,School 2015: Who Are You,https://salt.tikicdn.com/cache/280x280/ts/product/87/f3/d1/b649eac9a9a4378c17232c4d9b93372f.jpg,TẠP CHÍ - CATALOGUE,KBS,"School 2015: Who Are You18 tuổi. Vẫn còn quá sớm để đạt được ước mơ, nhưng lại là độ tuổi tuyệt nhất để bắt đầu ước mơ ấy. Có thể rất đau khi vấp ngã, nhưng lại là thời điểm thích hợp nhất để học cá...",105500,Shine Books,2018-04-19 16:39:02,<p>15.6 x 21 cm</p>,Bìa mềm,320,,Ngân Hà,,,,,,,,,
3,Tạp chí Forbes Việt Nam - Số 94 (Tháng 6.2021),https://salt.tikicdn.com/cache/280x280/ts/product/2a/88/41/2b49b32e4cdbb227f32db8472f9be562.jpg,TẠP CHÍ - CATALOGUE,nhieu tac gia,"Xuất bản lần đầu tiên vào năm 1917, Forbes là hiện thân của niềm tin mãnh liệt vào tinh thần khởi nghiệp. Sứ mệnh của Forbes là cung cấp những góc nhìn tổng quan, sâu sắc về kinh doanh, trở thành chìa...",45000,Forbes Việt Nam,2021-06-07 07:00:00,,Bìa mềm,140,Forbes Việt Nam,,Danh sách 50 công ty niêm yết tốt nhất Việt Nam 2021,,,,,,,,
4,Graphics 02 - Draw The Lines,https://salt.tikicdn.com/cache/280x280/ts/product/96/01/6e/bcb51b882bf0c7f687f275ed0601e905.jpg,TẠP CHÍ - CATALOGUE,BBT Tạp chí Graphics,Graphics 02 - Draw The Lines Số thứ hai của Graphics xoay quanh thành phần thiết kế cơ bản thứ hai: Line (đường). Những bài viết chuyên đề sẽ cung cấp cho bạn những khái niệm về Đường và chúng được s...,91000,Tri Thức Trẻ,2017-12-18 11:40:15,<p>19 x 26.5 cm</p>,,96,,,,,,,,,,,
5,J.O.Y - Issue 4: Chuyến Du Hành Ngược Thời Gian ,https://salt.tikicdn.com/cache/280x280/ts/product/6c/99/f6/dd1a8049f42e3307b4b1bfd46a71e463.jpg,TẠP CHÍ - CATALOGUE,Nhiều Tác Giả,J.O.Y - Issue 4: Chuyến Du Hành Ngược Thời GianChào mừng các bạn đã có mặt trên một chuyến tàu kỳ lạ và chuẩn bị bước vào hành trình có một không hai của J.O.Y Issue 4. Issue 4 – mang tên Chuyến Du H...,149000,Bloom Books,2020-10-01 00:00:00,17 x 24 cm,Bìa mềm,196,Nhà Xuất Bản Thế Giới,,,,,,,,,,
6,Combo Tạp Chí Graphics (5 Tập),https://salt.tikicdn.com/cache/280x280/ts/product/4e/53/b8/7eaa1203f2c914313ff5d1ea4ae186db.jpg,TẠP CHÍ - CATALOGUE,Nguyễn Việt Hùng,"COMBO 5 CUỐN GRAPHICSNếu bạn là một người đam mê thiết kế đồ hoạ, hiếu kì về những kiến thức xung quanh lĩnh vực này, Graphics là một cuốn sách tuyệt vời cho bạn. Đây là số đặc biệt đầu tiên của Grap...",588000,Công Ty TNHH Sách Và Truyền Thông Việt Nam,2019-01-01 13:48:58,,Bìa mềm,500,,,,,,,,,,,
7,BTS Con Đường Khẳng Định Chính Mình,https://salt.tikicdn.com/cache/280x280/ts/product/ee/86/3b/90cb7f2bd7c1f77738f4b743aa42a26a.png,TẠP CHÍ - CATALOGUE,Gu Ja Hyoung,BTS Con Đường Khẳng Định Chính MìnhNhắc tới BTS hẳn ai cũng sẽ nhớ đến một nhóm nhạc tài năng và đầy triển vọng. nhưng đâu phải ai cũng biết rằng đằng sau đó là cả một con đường dài và đầy chông gai ...,96600,Shine Books,2018-12-14 19:37:03,<p>13 x 19 cm</p>,Bìa cứng,216,,Minh Thùy,,,,,,,,,
8,Graphics (Tập 4) – Issue #04,https://salt.tikicdn.com/cache/280x280/ts/product/7b/6c/6e/30426401141cf6352fe7041c1207d64d.jpg,TẠP CHÍ - CATALOGUE,Nguyễn Việt Hùng,"GRAPHICS 4“Design for everyone – Design in everyone”(Thiết kế dành cho mọi người – Thiết kế ở trong mỗi người)Nếu bạn là một người đam mê thiết kế đồ hoạ, hiếu kì về những kiến thức xung quanh lĩnh...",126700,Tri Thức Trẻ Books,,"<p><span style=""color: #4b4f56; font-family: Helvetica, Arial, sans-serif; font-size: 12px; white-space: pre-wrap; background-color: #f1f0f0;"">19x26.5</span></p>",Bìa mềm,136,,,,,,,,,,,
9,Tạp chí Forbes Việt Nam - Số 92 (Tháng 4.2021),https://salt.tikicdn.com/cache/280x280/ts/product/85/b3/30/19ae7f89c6d7da8c7fc30a67444020d1.jpg,TẠP CHÍ - CATALOGUE,nhieu tac gia,"Xuất bản lần đầu tiên vào năm 1917, Forbes là hiện thân của niềm tin mãnh liệt vào tinh thần khởi nghiệp. Sứ mệnh của Forbes là cung cấp những góc nhìn tổng quan, sâu sắc về kinh doanh, trở thành chìa...",45000,Forbes Việt Nam,2021-04-19 06:00:00,,Bìa mềm,156,Forbes Việt Nam,,20 phụ nữ Việt Nam truyền cảm hứng,,,,,,,,
